n,t,y
20,0.0000,1.000000
20,0.2500,1.000000
20,0.5000,0.992228
20,0.7500,0.963567
20,1.0000,0.905597
20,1.2500,0.814274
20,1.5000,0.689536
20,1.7500,0.534836
20,2.0000,0.356566
20,2.2500,0.163387
20,2.5000,-0.034503
20,2.7500,-0.226163
20,3.0000,-0.400698
20,3.2500,-0.548022
20,3.5000,-0.659549
20,3.7500,-0.728776
20,4.0000,-0.751722
20,4.2500,-0.727202
20,4.5000,-0.656923
20,4.7500,-0.545392
20,5.0000,-0.399643
100,0.0000,1.000000
100,0.0500,1.000000
100,0.1000,0.999938
100,0.1500,0.999691
100,0.2000,0.999145
100,0.2500,0.998191
100,0.3000,0.996727
100,0.3500,0.994657
100,0.4000,0.991893
100,0.4500,0.988352
100,0.5000,0.983956
100,0.5500,0.978638
100,0.6000,0.972332
100,0.6500,0.964982
100,0.7000,0.956537
100,0.7500,0.946953
100,0.8000,0.936189
100,0.8500,0.924215
100,0.9000,0.911004
100,0.9500,0.896534
100,1.0000,0.880791
100,1.0500,0.863767
100,1.1000,0.845457
100,1.1500,0.825864
100,1.2000,0.804995
100,1.2500,0.782863
100,1.3000,0.759486
100,1.3500,0.734887
100,1.4000,0.709093
100,1.4500,0.682137
100,1.5000,0.654055
100,1.5500,0.624889
100,1.6000,0.594684
100,1.6500,0.563490
100,1.7000,0.531360
100,1.7500,0.498349
100,1.8000,0.464520
100,1.8500,0.429934
100,1.9000,0.394657
100,1.9500,0.358760
100,2.0000,0.322313
100,2.0500,0.285390
100,2.1000,0.248067
100,2.1500,0.210421
100,2.2000,0.172532
100,2.2500,0.134481
100,2.3000,0.096348
100,2.3500,0.058217
100,2.4000,0.020170
100,2.4500,-0.017708
100,2.5000,-0.055334
100,2.5500,-0.092625
100,2.6000,-0.129496
100,2.6500,-0.165866
100,2.7000,-0.201652
100,2.7500,-0.236773
100,2.8000,-0.271149
100,2.8500,-0.304703
100,2.9000,-0.337357
100,2.9500,-0.369037
100,3.0000,-0.399670
100,3.0500,-0.429186
100,3.1000,-0.457517
100,3.1500,-0.484598
100,3.2000,-0.510367
100,3.2500,-0.534763
100,3.3000,-0.557731
100,3.3500,-0.579219
100,3.4000,-0.599176
100,3.4500,-0.617557
100,3.5000,-0.634320
100,3.5500,-0.649427
100,3.6000,-0.662843
100,3.6500,-0.674539
100,3.7000,-0.684488
100,3.7500,-0.692669
100,3.8000,-0.699063
100,3.8500,-0.703659
100,3.9000,-0.706446
100,3.9500,-0.707420
100,4.0000,-0.706581
100,4.0500,-0.703935
100,4.1000,-0.699488
100,4.1500,-0.693255
100,4.2000,-0.685252
100,4.2500,-0.675503
100,4.3000,-0.664032
100,4.3500,-0.650870
100,4.4000,-0.636052
100,4.4500,-0.619616
100,4.5000,-0.601605
100,4.5500,-0.582065
100,4.6000,-0.561045
100,4.6500,-0.538601
100,4.7000,-0.514788
100,4.7500,-0.489668
100,4.8000,-0.463304
100,4.8500,-0.435764
100,4.9000,-0.407117
100,4.9500,-0.377436
100,5.0000,-0.346795
1000,0.0000,1.000000
1000,0.0050,1.000000
1000,0.0100,1.000000
1000,0.0150,1.000000
1000,0.0200,0.999999
1000,0.0250,0.999998
1000,0.0300,0.999997
1000,0.0350,0.999994
1000,0.0400,0.999991
1000,0.0450,0.999987
1000,0.0500,0.999982
1000,0.0550,0.999976
1000,0.0600,0.999969
1000,0.0650,0.999960
1000,0.0700,0.999950
1000,0.0750,0.999938
1000,0.0800,0.999924
1000,0.0850,0.999908
1000,0.0900,0.999891
1000,0.0950,0.999871
1000,0.1000,0.999849
1000,0.1050,0.999825
1000,0.1100,0.999798
1000,0.1150,0.999769
1000,0.1200,0.999737
1000,0.1250,0.999702
1000,0.1300,0.999665
1000,0.1350,0.999624
1000,0.1400,0.999581
1000,0.1450,0.999534
1000,0.1500,0.999484
1000,0.1550,0.999430
1000,0.1600,0.999373
1000,0.1650,0.999312
1000,0.1700,0.999248
1000,0.1750,0.999180
1000,0.1800,0.999107
1000,0.1850,0.999031
1000,0.1900,0.998951
1000,0.1950,0.998866
1000,0.2000,0.998777
1000,0.2050,0.998683
1000,0.2100,0.998585
1000,0.2150,0.998482
1000,0.2200,0.998375
1000,0.2250,0.998262
1000,0.2300,0.998145
1000,0.2350,0.998023
1000,0.2400,0.997895
1000,0.2450,0.997762
1000,0.2500,0.997624
1000,0.2550,0.997481
1000,0.2600,0.997332
1000,0.2650,0.997177
1000,0.2700,0.997016
1000,0.2750,0.996850
1000,0.2800,0.996678
1000,0.2850,0.996500
1000,0.2900,0.996316
1000,0.2950,0.996125
1000,0.3000,0.995929
1000,0.3050,0.995726
1000,0.3100,0.995516
1000,0.3150,0.995301
1000,0.3200,0.995078
1000,0.3250,0.994849
1000,0.3300,0.994613
1000,0.3350,0.994370
1000,0.3400,0.994120
1000,0.3450,0.993863
1000,0.3500,0.993599
1000,0.3550,0.993328
1000,0.3600,0.993050
1000,0.3650,0.992764
1000,0.3700,0.992471
1000,0.3750,0.992170
1000,0.3800,0.991862
1000,0.3850,0.991546
1000,0.3900,0.991222
1000,0.3950,0.990891
1000,0.4000,0.990551
1000,0.4050,0.990204
1000,0.4100,0.989848
1000,0.4150,0.989484
1000,0.4200,0.989113
1000,0.4250,0.988733
1000,0.4300,0.988344
1000,0.4350,0.987947
1000,0.4400,0.987542
